name,price,stock_quantity,category,image_url
"Carson Dellosa Multiplication Flash Cards for Kids Ages 8+, Times Table Flash Cards for Grade 3, Grade 4 and Grade 5, Multiplication Flash Cards with Answers",13.20,56,Learning & Education Toys,https://m.media-amazon.com/images/I/81k57a1xhuL._AC_UL320_.jpg
Women's Classic Ultra Mini Fashion Boot,149.95,52,Women's Shoes,https://m.media-amazon.com/images/I/816QYu6+DaL._AC_UL320_.jpg
"LeapFrog Learning Friends 100 Words Book (Frustration Free Packaging), Green",15.89,113,Learning & Education Toys,https://m.media-amazon.com/images/I/71wQb2LWUkL._AC_UL320_.jpg
14K Gold Plated Cross Necklace for Women | Cross Pendant | Gold Necklaces for Women,12.95,70,Women's Jewelry,https://m.media-amazon.com/images/I/514P5Dv4b7L._AC_UL320_.jpg
Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones - Triple Black (Renewed),229.21,100,Headphones & Earbuds,https://m.media-amazon.com/images/I/51G0LlfO00L._AC_UL320_.jpg
"Bifesta Mandom Eye Makeup Remover, 145ml (2)",14.99,31,Skin Care Products,https://m.media-amazon.com/images/I/71s+IhYT1NL._AC_UL320_.jpg
"SHVYOG Kojic Acid Soap, Turmeric Soap Bar, Dark Spot Remover with Vitamin C Hyaluronic Acid for Deep Cleansing, Gentle Soap for Face and Body with A Foaming Net, 8.47oz（3 Pack）",11.99,17,Skin Care Products,https://m.media-amazon.com/images/I/71hWRJIvIyL._AC_UL320_.jpg
"OMIRO Decorative Wall Mirror, Vintage Hanging Mirrors for Bedroom Living-Room Dresser Decor, Oval Antique Bronze 13"" W x 15"" L",14.99,89,Furniture,https://m.media-amazon.com/images/I/71HWHQbuoIL._AC_UL320_.jpg
"SENTJO Premium 100% Hand-Made Ceramic Incense Burner, Incense Holder, Aromatherapy, Home Decor, Backflow Incense Powder, Cones and Stick, Made in France, (Red)",39.99,53,Home Decor Products,https://m.media-amazon.com/images/I/71mdZ1P64EL._AC_UL320_.jpg
14K Gold Plated Lightweight Chunky Open Hoops | Gold Hoop Earrings for Women,13.95,133,Women's Jewelry,https://m.media-amazon.com/images/I/514XGSsXebL._AC_UL320_.jpg
